respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.04113685243000047,0.18090033550876913
26708,0.07975876522118537,0.18152035214177958
26709,0.17865993365619898,0.45475979981868586
26710,0.662671731717796,0.8181055197290333
26711,0.1645574284048684,0.42441483229707405
26712,0.20145089752491188,0.7658707381695945
26713,0.28403421417391417,0.2410612136762485
26714,0.11383094144957115,0.296545290134551
26715,0.05151258151506933,0.39225661779324494
26716,0.09057638857921346,0.742510431567048
26717,0.022265687107956577,0.4049936734847886
26718,0.22364369684670832,0.47365370796212913
26719,0.111057359121067,0.6526046607639192
26720,0.03740274036119865,0.08324832307202211
26721,0.5601491062681797,0.34328772893893544
26722,0.04207702239844983,0.204972834694661
26723,0.43585901342154293,0.7248084603760262
26724,0.07107930339720188,0.6270552880719951
26725,0.02208861431153063,0.04707008422232085
26726,0.01684536205689387,0.1432823945500096
26727,0.09582289328822602,0.46624856241289747
26728,0.18599088648352669,0.581145823869342
26729,0.06395758562715535,0.2884342260613618
26730,0.06349680768693093,0.4990499637105205
26731,0.013357442013961078,0.45442646640061746
26732,0.3516042905161087,0.3332250720524865
26733,0.7499335655939676,0.6364765682140922
26734,0.792150443409012,0.34826266871986966
26735,0.15737808765936753,0.4584161474069484
26736,0.06251602399379845,0.1613759290447607
26737,0.1269949627723625,0.2885273901838242
26738,0.6666080886301003,0.6299302886563284
26739,0.11951736273260065,0.29873539269899957
26740,0.11921120736990652,0.1364987881182853
26741,0.25612837169786423,0.7144574012901888
26742,0.11341675617627286,0.4608443878276034
26743,0.03374551576713916,0.5401779845604455
26744,0.03815868583112537,0.3672843218155372
26745,0.15416796938020663,0.7744593540885625
26746,0.08980399121397065,0.28983365497573
26747,0.035474234549519666,0.4663318003676718
26748,0.08451343221130142,0.10943555197096733
26749,0.11331772436376605,0.37368423099066167
26750,0.5869553162033401,0.7237379621049368
26751,0.11753176131601173,0.42567868079393506
26752,0.025147642684626263,0.1403285401787961
26753,0.0934805717231167,0.57398975082993
26754,0.3520340998743064,0.20564545117387506
26755,0.1443760036162034,0.7809345435285037
26756,0.041942472613608374,0.18147266253930228
26757,0.5124842145246349,0.34876323387141245
26758,0.4998563413039734,0.6160865655670544
26759,0.10902727785396808,0.3809054280641727
26760,0.06757427710320399,0.12756504594889995
26761,0.12586866093914023,0.2195205703752856
26762,0.1849965854748825,0.8110020629478181
26763,0.84764590980449,0.8728908170962623
26764,0.9068703110455875,0.7827563820758525
26765,0.18420103819792985,0.8709106342717453
26766,0.19508744017575524,0.163029898947066
26767,0.8514141864711765,0.5653864922347037
26768,0.05840424797426193,0.26546236167161563
26769,0.10294887306168593,0.14373785701368247
26770,0.19453011236425954,0.3332546359677221
26771,0.030057966171645852,0.09323343188635072
26772,0.11012958346846051,0.31817212191936856
26773,0.012439091058319333,0.05760684543864609
26774,0.02359671551954466,0.2432386822110755
26775,0.1375429280957957,0.5683805264459018
26776,0.4872512747350421,0.14432648292506797
26777,0.133947265888113,0.7563975596623433
26778,0.2561049870672888,0.2667629917005363
26779,0.12376558826045003,0.3191888342433206
26780,0.1759365689795039,0.5674676030661208
26781,0.03039121084375723,0.5651247552339127
26782,0.026751833212934,0.5311195087593843
26783,0.0677369490241384,0.4358297995276343
26784,0.21834181985912773,0.6422345942262772
26785,0.5573815149577243,0.37133490963223087
26786,0.07337452468285145,0.17910335285221973
26787,0.07308567375603195,0.49019002430180103
26788,0.1302692742498784,0.6423730642671914
26789,0.06749012272838403,0.2222131022227206
26790,0.04039194337911641,0.2781976153718501
26791,0.07219386888121924,0.129500499379571
26792,0.1305130019305668,0.7565471815757547
26793,0.14338117119235647,0.6648402509954477
26794,0.7762300622185766,0.7040083159793916
26795,0.031707790717702855,0.5868556856533469
26796,0.09380489171412716,0.21983686409992553
26797,0.3444418732110341,0.33536398949336904
26798,0.10966638982810507,0.18564759012747717
26799,0.18324454372956603,0.11727624768670258
26800,0.054401575963675404,0.7662584529365147
26801,0.31532838328235574,0.20275521135804223
26802,0.09482773479296935,0.4151523622270787
26803,0.07865465171380491,0.1419815045784233
26804,0.16828515154196394,0.18594011058468984
26805,0.07507961372189792,0.37917893763943483
26806,0.05429214944532587,0.5391821289995115
26807,0.4187838098168863,0.9000697577067455
26808,0.11898012295204732,0.5356203855852032
26809,0.7266325736736787,0.21228458136598713
26810,0.05912740105396207,0.18437770999585892
26811,0.043240881813818556,0.09463968944037449
26812,0.08965942691483138,0.5777386270690892
26813,0.34649627231244384,0.1963936224119446
26814,0.01856935441013572,0.432747402292907
26815,0.11790976230753532,0.396340823638926
26816,0.03399721038548333,0.18729920156386917
26817,0.13496691638863692,0.6584021510039911
